Unnamed: 0,id,pedestrian_category,pedestrian_condition,pedestrian_behaviour,situation_at_the_point_of_accident
2262,60206182263,Woman,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"correct, appropriate",crossing at a marked crossing
2263,60206182264,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
2264,60206182267,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2265,60206182272,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2266,60206182283,Woman,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,sudden change in walking direction,crossing at a marked crossing
2267,60206182298,man,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,pedestrian entering on the STOP signal
2268,60206182320,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2269,60206182321,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2270,60206182334,man,good no adverse circumstances were found,Side impact,pedestrian entering the roadway near the crosswalk (approx. within 20 m)
2271,60206182340,man,"inattention, distraction",Side impact,crossing at a marked crossing
2272,60206182341,man,good no adverse circumstances were found,"correct, appropriate",another situation
2273,60206182344,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2274,60206182354,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2275,60206182357,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2276,60206182367,another group,not detected,,another situation
2277,60206182377,Woman,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,,crossing at a marked crossing
2278,60206182378,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,,pedestrian entering on the STOP signal
2279,60206182382,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2280,60206182401,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
2281,60206182408,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2282,60206182412,Woman,"under the influence of drugs, narcotics",Side impact,Crossing outside the crossing (20 metres or more from the crossing)
2283,60206182415,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
2284,60206182421,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2285,60206182422,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2286,60206182429,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2287,60206182430,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
2288,60206182434,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2289,60206182454,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,sudden change in walking direction,Crossing outside the crossing (20 metres or more from the crossing)
2290,60206182457,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2291,60206182500,man,good no adverse circumstances were found,"correct, appropriate",another situation
2292,60206182501,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2293,60206182514,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2294,60206182529,man,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
2295,60206182542,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2296,60206182543,man,not detected,,another situation
2297,60306180098,another group,not detected,,another situation
2298,60306180101,another group,not detected,,another situation
2299,60306180122,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2300,60306180123,man,not detected,,another situation
2301,60306180144,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2302,60306180151,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2303,60306180209,man,not detected,,another situation
2304,60306180217,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2305,60306180264,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2306,60306180303,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
2307,60306180322,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
2308,60306180334,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
2309,60306180351,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2310,60306180474,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2311,60306180536,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2312,60306180545,Woman,good no adverse circumstances were found,"confused, hasty, indecisive behaviour",Crossing outside the crossing (20 metres or more from the crossing)
2313,60306180549,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2314,60306180581,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder","walking, standing on the pavement"
2315,60306180605,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2316,60306180644,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2317,60306180766,Woman,"inattention, distraction",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
2318,60306180812,man,good no adverse circumstances were found,sudden change in walking direction,another situation
2319,60306180868,Woman,"physical disability (illness, nausea, reduced mobility, etc.)",,Crossing outside the crossing (20 metres or more from the crossing)
2320,60306180875,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2321,60306180878,man,good no adverse circumstances were found,"correct, appropriate",another situation
2322,60306180920,man,good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
2323,60306180940,man,good no adverse circumstances were found,"correct, appropriate",walking on the wrong side
2324,60306180950,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2325,60306180963,child (up to 15 years),"inattention, distraction",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
2326,60306180975,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2327,60306181012,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2328,60306181017,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2329,60306181021,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2330,60306181065,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2331,60306181067,another group,not detected,,another situation
2332,60306181084,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2333,60306181118,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
2334,60306181166,man,"inattention, distraction",poor estimation of the distance and speed of the vehicle,crossing at a marked crossing
2335,60306181180,another group,not detected,,another situation
2336,60306181225,another group,not detected,,another situation
2337,60306181252,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",another situation
2338,60306181265,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
2339,60306181270,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2340,60306181301,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2341,60306181310,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2342,60306181339,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2343,60306181343,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2344,60306181390,man,not detected,"sudden entry into the roadway from the sidewalk, shoulder",another situation
2345,60406180001,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",another situation
2346,60406180005,man,not detected,,another situation
2347,60406180007,Woman,"physical disability (illness, nausea, reduced mobility, etc.)",Side impact,crossing just in front of or behind a vehicle at a bus stop
2348,60406180011,Woman,good no adverse circumstances were found,,another situation
2349,60406180025,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2350,60406180032,Woman,good no adverse circumstances were found,,another situation
2351,60406180051,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2352,60406180052,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
2353,60406180057,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,walking on the wrong side
2354,60406180108,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2355,60406180119,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
2356,60406180160,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2357,60406180427,man,not detected,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
2358,60406180429,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2359,60406180455,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",walking on the wrong side
2360,60406180471,another group,not detected,,another situation
2361,60406180494,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2362,60406180507,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
2363,60406180591,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2364,60606180004,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2365,60606180016,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2366,60606180032,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2367,60606180075,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2368,60606180106,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2369,60606180122,man,good no adverse circumstances were found,,another situation
2370,60606180130,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",walking on the wrong side
2371,60606180134,another group,not detected,,another situation
2372,60606180148,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2373,60606180220,another group,not detected,,another situation
2374,60606180306,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2375,60606180319,child (up to 15 years),good no adverse circumstances were found,sudden change in walking direction,walking on the wrong side
2376,60606180340,Woman,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,,another situation
2377,60606180343,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2378,60606180347,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2379,60606180399,man,good no adverse circumstances were found,"correct, appropriate",another situation
2380,60606180432,Woman,good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
2381,60606180547,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2382,60606180560,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
2383,60606180596,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,pedestrian entering the roadway near the crosswalk (approx. within 20 m)
2384,60606180614,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",another situation
2385,60606180622,Woman,good no adverse circumstances were found,"correct, appropriate",crossing just in front of or behind a parked vehicle
2386,60606180626,child (up to 15 years),not detected,"sudden entry into the roadway from the sidewalk, shoulder",another situation
2387,60606180644,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2388,60606180649,Woman,"physical disability (illness, nausea, reduced mobility, etc.)",,Crossing outside the crossing (20 metres or more from the crossing)
2389,60606180657,child (up to 15 years),good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,crossing at a marked crossing
2390,60606180669,man,not detected,,another situation
2391,60606180675,man,"inattention, distraction","correct, appropriate",walking on the wrong side
2392,60606180679,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",another situation
2393,60606180700,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,poor estimation of the distance and speed of the vehicle,crossing just in front of or behind a parked vehicle
2394,60606180705,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2395,60606180713,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2396,60606180719,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2397,60606180722,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2398,60606180723,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2399,60606180735,another group,not detected,,another situation
2400,60606180769,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2401,60606180782,man,good no adverse circumstances were found,"correct, appropriate",another situation
2402,60606180795,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2403,60606180809,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2404,60606180817,child (up to 15 years),good no adverse circumstances were found,Side impact,crossing just in front of or behind a parked vehicle
2405,61206180015,man,not detected,Side impact,walking on the wrong side
2406,61206180017,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2407,61206180025,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
2408,61206180042,man,"under the influence of drugs, narcotics","correct, appropriate",crossing at a marked crossing
2409,61206180110,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
2410,61206180139,child (up to 15 years),good no adverse circumstances were found,,another situation
2411,61206180149,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2412,61206180212,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
2413,61206180239,man,"under the influence of drugs, narcotics",,Crossing outside the crossing (20 metres or more from the crossing)
2414,61206180290,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,poor estimation of the distance and speed of the vehicle,walking on the wrong side
2415,61206180352,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a vehicle at a bus stop
2416,61206180367,man,good no adverse circumstances were found,"correct, appropriate",crossing just in front of or behind a parked vehicle
2417,61206180378,child (up to 15 years),"inattention, distraction",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
2418,61206180416,child (up to 15 years),"inattention, distraction",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
2419,61206180448,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
2420,61206180456,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,sudden change in walking direction,walking on the wrong side
2421,61206180467,Woman,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"correct, appropriate",walking on the right side
2422,61306180028,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,walking on the right side
2423,61306180038,another group,not detected,,another situation
2424,61306180046,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2425,61306180052,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2426,61306180079,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2427,61306180096,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2428,61306180097,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2429,61306180101,Woman,not detected,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2430,61306180104,man,good no adverse circumstances were found,,another situation
2431,61306180114,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
2432,61306180149,man,not detected,,another situation
2433,61306180161,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
2434,61306180171,Woman,good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
2435,61306180172,man,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,pedestrian entering the roadway near the crosswalk (approx. within 20 m)
2436,61306180203,Woman,"physical disability (illness, nausea, reduced mobility, etc.)","correct, appropriate",crossing just in front of or behind a parked vehicle
2437,61306180209,Woman,good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
2438,61306180210,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2439,61306180250,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,,another situation
2440,61306180253,man,not detected,,walking on the wrong side
2441,61306180264,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2442,61306180273,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2443,61306180274,Woman,good no adverse circumstances were found,"confused, hasty, indecisive behaviour",another situation
2444,61306180281,child (up to 15 years),not detected,,another situation
2445,61306180300,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2446,61306180369,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2447,61306180397,another group,not detected,,another situation
2448,61306180419,man,not detected,,walking on the wrong side
2449,61306180422,another group,not detected,,another situation
2450,61306180427,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2451,61306180432,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,poor estimation of the distance and speed of the vehicle,crossing just in front of or behind a parked vehicle
2452,61306180443,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2453,61306180448,Woman,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
2454,61306180463,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2455,61306180478,Woman,good no adverse circumstances were found,,walking on the wrong side
2456,61306180481,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2457,61306180501,man,good no adverse circumstances were found,"correct, appropriate",walking on the wrong side
2458,61306180504,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,,Crossing outside the crossing (20 metres or more from the crossing)
2459,61306180505,man,not detected,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
2460,61306180519,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",another situation
2461,61306180524,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2462,61306180535,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2463,70041181063,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,poor estimation of the distance and speed of the vehicle,another situation
2464,70106180017,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2465,70106180023,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2466,70106180094,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2467,70106180148,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2468,70106180203,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2469,70106180280,child (up to 15 years),not detected,,crossing at a marked crossing
2470,70106180497,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2471,70106180512,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",another situation
2472,70106180526,group of children,good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
2473,70106180548,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,walking on the wrong side
2474,70106180566,child (up to 15 years),good no adverse circumstances were found,"confused, hasty, indecisive behaviour",another situation
2475,70106180610,child (up to 15 years),good no adverse circumstances were found,,walking on the wrong side
2476,70106180670,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2477,70106180675,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",another situation
2478,70106180722,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2479,70106180767,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2480,70106180842,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2481,70106180882,another group,not detected,,another situation
2482,70106180931,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2483,70106180951,child (up to 15 years),good no adverse circumstances were found,,another situation
2484,70106180963,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
2485,70106180975,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2486,70106180994,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
2487,70206180088,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2488,70206180117,man,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
2489,70206180211,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,Crossing outside the crossing (20 metres or more from the crossing)
2490,70206180227,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",crossing at a marked crossing
2491,70206180328,Woman,good no adverse circumstances were found,,crossing at a marked crossing
2492,70206180336,Woman,good no adverse circumstances were found,"correct, appropriate",crossing just in front of or behind a parked vehicle
2493,70206180350,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2494,70206180371,Woman,good no adverse circumstances were found,sudden change in walking direction,walking on the wrong side
2495,70206180393,man,good no adverse circumstances were found,sudden change in walking direction,another situation
2496,70206180630,Woman,good no adverse circumstances were found,,crossing just in front of or behind a parked vehicle
2497,70206180646,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2498,70206180656,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,,another situation
2499,70206180663,child (up to 15 years),"inattention, distraction",,another situation
2500,70206180679,man,"inattention, distraction",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
2501,70206180709,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2502,70206180733,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2503,70206180746,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,Side impact,crossing just in front of or behind a parked vehicle
2504,70206180767,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
2505,70206180814,man,good no adverse circumstances were found,"correct, appropriate",another situation
2506,70206180831,child (up to 15 years),good no adverse circumstances were found,,crossing just in front of or behind a vehicle at a bus stop
2507,70206180866,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2508,70206180868,man,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
2509,70206180877,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2510,70206180882,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
2511,70206180886,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2512,70206180926,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2513,70206180939,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2514,70206180940,Woman,good no adverse circumstances were found,,another situation
2515,70206180978,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2516,70206181024,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",walking on the wrong side
2517,70206181055,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,Side impact,pedestrian entering on the STOP signal
2518,70206181057,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
2519,70206181087,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
2520,70206181096,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
2521,70206181107,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2522,70206181168,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2523,70206181171,another group,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",another situation
2524,70206181190,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2525,70208183001,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,another situation
2526,70208183013,Woman,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,crossing at a marked crossing
2527,70208183019,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,Crossing outside the crossing (20 metres or more from the crossing)
2528,70208183101,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,another situation
2529,70208183107,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2530,70208183146,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
2531,70208183172,child (up to 15 years),"inattention, distraction","confused, hasty, indecisive behaviour",crossing at a marked crossing
2532,70208183183,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2533,70208183234,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"confused, hasty, indecisive behaviour",Crossing outside the crossing (20 metres or more from the crossing)
2534,70208183236,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2535,70208183255,Woman,not detected,,pedestrian entry on the signal FREE
2536,70208183270,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2537,70208183303,another group,not detected,,another situation
2538,70208183381,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,crossing at a marked crossing
2539,70208183419,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2540,70208183441,Woman,good no adverse circumstances were found,,walking on the wrong side
2541,70208183442,another group,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2542,70306180001,Woman,good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
2543,70306180002,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2544,70306180013,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
2545,70306180023,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
